2025-06-14 13:37:34 - INFO - Logging system initialized. Log file: C:\Users\jayan\Downloads\phishwatch_21_05_2025 (1)\Source_Codes\..\Logs\Alert_Severity_JKPolice_JK01_20250614_133734.log
2025-06-14 13:37:34 - INFO - Detected latest file: C:\Users\jayan\Downloads\phishwatch_21_05_2025 (1)\Source_Codes\..\Outputs\05_Analytical_Attributes_JKPolice_JK01_20250613_101222.csv
2025-06-14 13:37:37 - INFO - Processing 58259 for alert severity calculation.
2025-06-14 13:37:37 - INFO - Total rows processed: 1/58259 (0.0%)
2025-06-14 13:37:37 - INFO - Total rows processed: 2/58259 (0.0%)
2025-06-14 13:37:58 - INFO - Total rows processed: 2911/58259 (5.0%)
2025-06-14 13:37:58 - INFO - Total rows processed: 2912/58259 (5.0%)
2025-06-14 13:37:58 - INFO - Total rows processed: 2913/58259 (5.0%)
2025-06-14 13:37:58 - INFO - Total rows processed: 2914/58259 (5.0%)
2025-06-14 13:37:58 - INFO - Total rows processed: 2915/58259 (5.0%)
2025-06-14 13:38:19 - INFO - Total rows processed: 5823/58259 (10.0%)
2025-06-14 13:38:19 - INFO - Total rows processed: 5824/58259 (10.0%)
2025-06-14 13:38:19 - INFO - Total rows processed: 5825/58259 (10.0%)
2025-06-14 13:38:19 - INFO - Total rows processed: 5826/58259 (10.0%)
2025-06-14 13:38:19 - INFO - Total rows processed: 5827/58259 (10.0%)
2025-06-14 13:38:19 - INFO - Total rows processed: 5828/58259 (10.0%)
2025-06-14 13:38:40 - INFO - Total rows processed: 8736/58259 (15.0%)
2025-06-14 13:38:40 - INFO - Total rows processed: 8737/58259 (15.0%)
2025-06-14 13:38:40 - INFO - Total rows processed: 8738/58259 (15.0%)
2025-06-14 13:38:40 - INFO - Total rows processed: 8739/58259 (15.0%)
2025-06-14 13:38:40 - INFO - Total rows processed: 8740/58259 (15.0%)
2025-06-14 13:38:40 - INFO - Total rows processed: 8741/58259 (15.0%)
2025-06-14 13:39:01 - INFO - Total rows processed: 11649/58259 (20.0%)
2025-06-14 13:39:01 - INFO - Total rows processed: 11650/58259 (20.0%)
2025-06-14 13:39:01 - INFO - Total rows processed: 11651/58259 (20.0%)
2025-06-14 13:39:01 - INFO - Total rows processed: 11652/58259 (20.0%)
2025-06-14 13:39:01 - INFO - Total rows processed: 11653/58259 (20.0%)
2025-06-14 13:39:01 - INFO - Total rows processed: 11654/58259 (20.0%)
2025-06-14 13:39:21 - INFO - Total rows processed: 14562/58259 (25.0%)
2025-06-14 13:39:21 - INFO - Total rows processed: 14563/58259 (25.0%)
2025-06-14 13:39:21 - INFO - Total rows processed: 14564/58259 (25.0%)
2025-06-14 13:39:21 - INFO - Total rows processed: 14565/58259 (25.0%)
2025-06-14 13:39:21 - INFO - Total rows processed: 14566/58259 (25.0%)
2025-06-14 13:39:21 - INFO - Total rows processed: 14567/58259 (25.0%)
2025-06-14 13:39:42 - INFO - Total rows processed: 17475/58259 (30.0%)
2025-06-14 13:39:42 - INFO - Total rows processed: 17476/58259 (30.0%)
2025-06-14 13:39:42 - INFO - Total rows processed: 17477/58259 (30.0%)
2025-06-14 13:39:42 - INFO - Total rows processed: 17478/58259 (30.0%)
2025-06-14 13:39:42 - INFO - Total rows processed: 17479/58259 (30.0%)
2025-06-14 13:39:42 - INFO - Total rows processed: 17480/58259 (30.0%)
2025-06-14 13:40:03 - INFO - Total rows processed: 20388/58259 (35.0%)
2025-06-14 13:40:03 - INFO - Total rows processed: 20389/58259 (35.0%)
2025-06-14 13:40:03 - INFO - Total rows processed: 20390/58259 (35.0%)
2025-06-14 13:40:03 - INFO - Total rows processed: 20391/58259 (35.0%)
2025-06-14 13:40:03 - INFO - Total rows processed: 20392/58259 (35.0%)
2025-06-14 13:40:03 - INFO - Total rows processed: 20393/58259 (35.0%)
